Unnamed: 0,reviews,clean_review,polarity,aspect_sentiments,dominant_topic
0,"Â  Â Overall I would say disappointing. Due to BA status I had lounge access, on the small side and very busy. The aircraft used a remote gate, boarding was not well organised by group status as it should be but I did manage to make my way onto the first bus of 3. On arrival at the aircraft the plane was still being prepared so we had to wait on the bus. After 10 minutes or so everyone was becoming a little irritable. As it turns out the inbound flight had a number of complex wheelchair passengers that needed assistance which was delayed and took a long amount of time when it did arrive. After 35 minutes waiting on the bus we finally boarded the aircraft. The Captain apologised for the delay, no mention from the crew. Seat was standard Euro Traveller, the service was okay but the crew were not particularly engaging. When I tried to order a coffee due to the seatbelt sign being on as a result of some minor turbulence I was told it wouldn't be possible. As the crew member reached two rows behind be the seatbelt sign was turned off but they didn't come back to ask if I would still like a coffee. Overall we arrived into LHR 1 hour late. No tug to move the aircraft in Lisbon and had to wait for the gate in LHR. Disappointing but not the worst flight I have had.",overall would say disappointing due ba status lounge access small side busy aircraft used remote gate boarding well organised group status manage make way onto first bus arrival aircraft plane still prepared wait bus minute everyone becoming little irritable turn inbound flight number complex wheelchair passenger needed assistance delayed took long amount time arrive minute waiting bus finally boarded aircraft captain apologised delay mention crew seat standard euro traveller service okay crew particularly engaging tried order coffee due seatbelt sign result minor turbulence told wouldnt possible crew member reached two row behind seatbelt sign turned didnt come back ask would still like coffee overall arrived lhr hour late tug move aircraft lisbon wait gate lhr disappointing worst flight,-0.09947916666666667,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
1,"  LHR to Delhi in Business. Exceptional flight. Stylish and quirky B Gates lounge with interesting, modern and eclectic food plus Whispering Angel bar. Food on board was delicious and well presented. Friendly, fun, relaxed crew with a blend of deference, self-deprecation and over familiarity. Been flying BA for 35 years in various classes, and this was probably the best. Great job BA!",lhr delhi business exceptional flight stylish quirky b gate lounge interesting modern eclectic food plus whispering angel bar food board delicious well presented friendly fun relaxed crew blend deference selfdeprecation familiarity flying ba year various class probably best great job ba,0.48560606060606054,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
2,"  Efficient and Smooth flight from start to finish. Cabin crew attentive and bubbly. Very clean aircraft. Mcvities snacks a nice touch, and even the coffee in a bag was unexpectedly nice. Everything to praise, and nothing to complain about!",efficient smooth flight start finish cabin crew attentive bubbly clean aircraft mcvities snack nice touch even coffee bag unexpectedly nice everything praise nothing complain,0.47333333333333333,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
3, Was told we can not take hand luggage onto the plane as all overhead cabins were already full. So had to put them in the hold when we at the aircraft door. Frustrating as we had just hand luggage to avoid delays at Heathrow. Then the bags did not arrive at the baggage belt and after 45 mins waiting had to spend another 30 mins filling in forms etc. Was told the bags are still in Madrid so they know that all the time and did not have the decency to inform us before we waited for them to arrive. 12 hours later no communication from BA. Such a terrible and unnecessary experience and so badly handled by BA. There were many people who had bags that were too big for hand luggage hence the cabins were full before everyone had boarded which is unfair and then not helping by informing us of the fact they did not leave Madrid is a double level of incompetence.,told take hand luggage onto plane overhead cabin already full put hold aircraft door frustrating hand luggage avoid delay heathrow bag arrive baggage belt min waiting spend another min filling form etc told bag still madrid know time decency inform u waited arrive hour later communication ba terrible unnecessary experience badly handled ba many people bag big hand luggage hence cabin full everyone boarded unfair helping informing u fact leave madrid double level incompetence,-0.1636363636363636,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",2
4,"  The flight was comfortable enough but with an hour delay on the return leg. However, on both leg I was told I had to put my very small and expensive cabin case into the hold as the flight was full. Having done so I was not amused to see other passengers bringing much larger cases into the cabin. BA should stick to their cabin bag size limit and not inconvenience those who comply.",flight comfortable enough hour delay return leg however leg told put small expensive cabin case hold flight full done amused see passenger bringing much larger case cabin ba stick cabin bag size limit inconvenience comply,0.0,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
5,"  We had a really good flying experience with BA, travelling as a young family of 4. The flights left on time and we even arrived early for nearly each one of our flights. Food was generous and quite tasty for Economy class with the crew coming around with water/drinks throughout the flights. Our checked luggage also arrived safely and undamaged both at VCE and our return flight to YUL. On all of our flights the crew were attentive, friendly, and helpful with us and our children, especially the gentlemen who served us on the return flights from VCE to YUL on March 5th. The B787-8 interior is really dated and really needs to be updated to compete with their European counterparts. There were panels squeaking loudly when we hit turbulence, seat covers coming off the seats, and tray tables which were not level and loose for eating. The IFE on the B787-8 worked fine, but it definitely wasn't as responsive and did not have a newer, larger screen like the ones on the B777-200. Thankfully, the B777-200 have had their interior updated but the one we flew on had a clogged sink in one of the lavatories, which created problems for passengers. Unfortunately, on nearly all of our flights, there was garbage left in the seat pockets and the floors weren't quite as clean. On the incoming flight to LHR, the B787-8 was not assigned a gate because we arrived early into the airport, which resulted in significant delays for the airport buses to get to the plane and also slowed down the deplaning process. We would definitely consider flying trans-Atlantic with BA again, as we received value and service for the fare we paid.",really good flying experience ba travelling young family flight left time even arrived early nearly one flight food generous quite tasty economy class crew coming around waterdrinks throughout flight checked luggage also arrived safely undamaged vce return flight yul flight crew attentive friendly helpful u child especially gentleman served u return flight vce yul march th b interior really dated really need updated compete european counterpart panel squeaking loudly hit turbulence seat cover coming seat tray table level loose eating ife b worked fine definitely wasnt responsive newer larger screen like one b thankfully b interior updated one flew clogged sink one lavatory created problem passenger unfortunately nearly flight garbage left seat pocket floor werent quite clean incoming flight lhr b assigned gate arrived early airport resulted significant delay airport bus get plane also slowed deplaning process would definitely consider flying transatlantic ba received value service fare paid,0.17636566332218506,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
6,"  Waited an hour to check-in at the Paphos business check-in. Staff utterly incompetent. Flight crew in business class removed my ruck sack from the flight bins without my consent to make way for another customer luggage. I was then coerced to have my luggage at my feet throughout my flight. Utterly outrageous, last thing you would expect in BA business class.",waited hour checkin paphos business checkin staff utterly incompetent flight crew business class removed ruck sack flight bin without consent make way another customer luggage coerced luggage foot throughout flight utterly outrageous last thing would expect ba business class,-0.45,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
7,"Â  Â Not a great experience at all, from the outset it was poorly managed as they bused us out to a parking slot only to have us wait for 15 minutes in the bus as the plane was ready. BA business class is not Business class. Tired, small and generally not worth the ticket price. Tables that donât sit straight, arm rests that arenât secure and terrible screens. Itâs not a patch on first class airlines which is apparently where BA think they should be. They have a long way to go.",great experience outset poorly managed bused u parking slot u wait minute bus plane ready ba business class business class tired small generally worth ticket price table dont sit straight arm rest arent secure terrible screen patch first class airline apparently ba think long way go,0.00833333333333334,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
8,"  Boarding was difficult caused by vast majority of the passengers carrying too much hand luggage. FA's were friendly. The seats on BA for European flights are extremely narrow. There was a choice of breakfast and very surprising the Champagne Castelau on European flights is of a better quality as the brand used in club on intercontinental flight. Nothing wrong with this flight, however not pleasant due to the unpleasant seats. Waiting time at Brussels for luggage some 20 minutes what is very acceptable.",boarding difficult caused vast majority passenger carrying much hand luggage fa friendly seat ba european flight extremely narrow choice breakfast surprising champagne castelau european flight better quality brand used club intercontinental flight nothing wrong flight however pleasant due unpleasant seat waiting time brussels luggage minute acceptable,0.04102564102564102,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
9,"  Boarding started with a delay of some 20 minutes , everybody could see members of the team only did arrive 5 en 3 minutes before the announced boarding time. We had to wait outside for nearly 15 minutes . It was hot ! Unfortunately flying from Barbados to London in Club Class was an underwhelming experience. BA is not performing a great performance on international flights anymore. Lucky the 777 had the new configuration. As welcome aboard Champagne or fruit juice, the glasses were filled at the level of one inch. A far cheaper brand of Champagne Heidsieck Monopole and no more rosÃ© Champagne available. Wines also poor, there was no French wine. Cognac is also not available anymore. My meal was sub par : the steak was replaced by beef stew. and the FA made it very clear : dessert or cheese. not both. After some 4 hours flight there was no more ice available. Minimal information from the flight deck. breakfast not suitable at all for a business class. Some of the FA were friendly, others not at all. Far from pleasant experience despite the high fares !",boarding started delay minute everybody could see member team arrive en minute announced boarding time wait outside nearly minute hot unfortunately flying barbados london club class underwhelming experience ba performing great performance international flight anymore lucky new configuration welcome aboard champagne fruit juice glass filled level one inch far cheaper brand champagne heidsieck monopole ro champagne available wine also poor french wine cognac also available anymore meal sub par steak replaced beef stew fa made clear dessert cheese hour flight ice available minimal information flight deck breakfast suitable business class fa friendly others far pleasant experience despite high fare,0.22339262187088274,"{'customer service': 0.0, 'flight experience': 0.0, 'booking process': 0.0, 'on-time performance': 0.0, 'baggage handling': 0.0, 'seating and amenities': 0.0, 'safety and security': 0.0, 'value for money': 0.0, 'loyalty programs': 0.0}",4
